dex_key,name,num,type,category,base_power,accuracy,pp,priority,target,flags,coverage_status,mechanics,contract_count,contracts,callbacks,is_nonstandard
10000000voltthunderbolt,"10,000,000 Volt Thunderbolt",719,Electric,Special,195,True,1,0,normal,,mechanic_contract,damage,0,,,Past
10000000Voltthunderbolt,"10,000,000 Volt Thunderbolt",719,Electric,Special,195,True,1,0,normal,,mechanic_contract,damage,0,,,Past
absorb,Absorb,71,Grass,Special,20,100,25,0,normal,heal; metronome; mirror; protect,mechanic_contract,damage; drain,0,,,
Absorb,Absorb,71,Grass,Special,20,100,25,0,normal,heal; metronome; mirror; protect,mechanic_contract,damage; drain,0,,,
accelerock,Accelerock,709,Rock,Physical,40,100,20,1,normal,contact; metronome; mirror; protect,mechanic_contract,damage; priority,0,,,
Accelerock,Accelerock,709,Rock,Physical,40,100,20,1,normal,contact; metronome; mirror; protect,mechanic_contract,damage; priority,0,,,
acid,Acid,51,Poison,Special,40,100,30,0,allAdjacentFoes,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; stat_boost,0,,,
Acid,Acid,51,Poison,Special,40,100,30,0,allAdjacentFoes,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect; stat_boost,0,,,
acidarmor,Acid Armor,151,Poison,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,
Acidarmor,Acid Armor,151,Poison,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,
aciddownpour,Acid Downpour,628,Poison,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
Aciddownpour,Acid Downpour,628,Poison,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
acidspray,Acid Spray,491,Poison,Special,40,100,20,0,normal,bullet; metronome; mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
Acidspray,Acid Spray,491,Poison,Special,40,100,20,0,normal,bullet; metronome; mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
acrobatics,Acrobatics,512,Flying,Physical,55,100,15,0,any,contact; distance; metronome; mirror; protect,explicit_contract,callback_behavior; callback_damage; damage,1,acrobatics no-item callback doubles base power,basePowerCallback=Acrobatics.basePowerCallback,
Acrobatics,Acrobatics,512,Flying,Physical,55,100,15,0,any,contact; distance; metronome; mirror; protect,explicit_contract,callback_behavior; callback_damage; damage,1,acrobatics no-item callback doubles base power,basePowerCallback=Acrobatics.basePowerCallback,
acupressure,Acupressure,367,Normal,Status,0,True,30,0,adjacentAllyOrSelf,metronome,explicit_contract,callback_behavior,1,acupressure raises one available stat by two stages,onHit=Acupressure.onHit,
Acupressure,Acupressure,367,Normal,Status,0,True,30,0,adjacentAllyOrSelf,metronome,explicit_contract,callback_behavior,1,acupressure raises one available stat by two stages,onHit=Acupressure.onHit,
aerialace,Aerial Ace,332,Flying,Physical,60,True,20,0,any,contact; distance; metronome; mirror; protect; slicing,mechanic_contract,damage,0,,,
Aerialace,Aerial Ace,332,Flying,Physical,60,True,20,0,any,contact; distance; metronome; mirror; protect; slicing,mechanic_contract,damage,0,,,
aeroblast,Aeroblast,177,Flying,Special,100,95,5,0,any,distance; metronome; mirror; protect; wind,mechanic_contract,damage; random_branch,0,,,
Aeroblast,Aeroblast,177,Flying,Special,100,95,5,0,any,distance; metronome; mirror; protect; wind,mechanic_contract,damage; random_branch,0,,,
afteryou,After You,495,Normal,Status,0,True,15,0,normal,allyanim; bypasssub,explicit_contract,callback_behavior,1,after you prioritizes an ally queued action in doubles,onHit=Afteryou.onHit,
Afteryou,After You,495,Normal,Status,0,True,15,0,normal,allyanim; bypasssub,explicit_contract,callback_behavior,1,after you prioritizes an ally queued action in doubles,onHit=Afteryou.onHit,
agility,Agility,97,Psychic,Status,0,True,30,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,
Agility,Agility,97,Psychic,Status,0,True,30,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,
aircutter,Air Cutter,314,Flying,Special,60,95,25,0,allAdjacentFoes,metronome; mirror; protect; slicing; wind,mechanic_contract,damage; random_branch,0,,,
Aircutter,Air Cutter,314,Flying,Special,60,95,25,0,allAdjacentFoes,metronome; mirror; protect; slicing; wind,mechanic_contract,damage; random_branch,0,,,
airslash,Air Slash,403,Flying,Special,75,95,15,0,any,distance; metronome; mirror; protect; slicing,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,
Airslash,Air Slash,403,Flying,Special,75,95,15,0,any,distance; metronome; mirror; protect; slicing,mechanic_contract,damage; random_branch; secondary_effect; volatile,0,,,
alloutpummeling,All-Out Pummeling,624,Fighting,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
Alloutpummeling,All-Out Pummeling,624,Fighting,Physical,1,True,1,0,normal,,mechanic_contract,damage,0,,,Past
alluringvoice,Alluring Voice,914,Fairy,Special,80,100,10,0,normal,bypasssub; metronome; mirror; protect; sound,mechanic_contract,damage; secondary_effect,0,,secondary.onHit=Alluringvoice.onHit,
Alluringvoice,Alluring Voice,914,Fairy,Special,80,100,10,0,normal,bypasssub; metronome; mirror; protect; sound,mechanic_contract,damage; secondary_effect,0,,secondary.onHit=Alluringvoice.onHit,
allyswitch,Ally Switch,502,Psychic,Status,0,True,15,2,self,metronome,mechanic_contract,callback_behavior; priority,0,,onHit=Allyswitch.onHit; onPrepareHit=Allyswitch.onPrepareHit,
Allyswitch,Ally Switch,502,Psychic,Status,0,True,15,2,self,metronome,mechanic_contract,callback_behavior; priority,0,,onHit=Allyswitch.onHit; onPrepareHit=Allyswitch.onPrepareHit,
amnesia,Amnesia,133,Psychic,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,
Amnesia,Amnesia,133,Psychic,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,stat_boost,0,,,
anchorshot,Anchor Shot,677,Steel,Physical,80,100,20,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; secondary_effect,0,,secondary.onHit=Anchorshot.onHit,Past
Anchorshot,Anchor Shot,677,Steel,Physical,80,100,20,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; secondary_effect,0,,secondary.onHit=Anchorshot.onHit,Past
ancientpower,Ancient Power,246,Rock,Special,60,100,5,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect,0,,,
Ancientpower,Ancient Power,246,Rock,Special,60,100,5,0,normal,metronome; mirror; protect,mechanic_contract,damage; random_branch; secondary_effect,0,,,
appleacid,Apple Acid,787,Grass,Special,80,100,10,0,normal,mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
Appleacid,Apple Acid,787,Grass,Special,80,100,10,0,normal,mirror; protect,mechanic_contract,damage; secondary_effect; stat_boost,0,,,
aquacutter,Aqua Cutter,895,Water,Physical,70,100,20,0,normal,metronome; mirror; protect; slicing,mechanic_contract,damage,0,,,
Aquacutter,Aqua Cutter,895,Water,Physical,70,100,20,0,normal,metronome; mirror; protect; slicing,mechanic_contract,damage,0,,,
aquajet,Aqua Jet,453,Water,Physical,40,100,20,1,normal,contact; metronome; mirror; protect,mechanic_contract,damage; priority,0,,,
Aquajet,Aqua Jet,453,Water,Physical,40,100,20,1,normal,contact; metronome; mirror; protect,mechanic_contract,damage; priority,0,,,
aquaring,Aqua Ring,392,Water,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,volatile,0,,,
Aquaring,Aqua Ring,392,Water,Status,0,True,20,0,self,metronome; snatch,mechanic_contract,volatile,0,,,
aquastep,Aqua Step,872,Water,Physical,80,100,10,0,normal,contact; dance; metronome; mirror; protect,mechanic_contract,damage; secondary_effect,0,,,
Aquastep,Aqua Step,872,Water,Physical,80,100,10,0,normal,contact; dance; metronome; mirror; protect,mechanic_contract,damage; secondary_effect,0,,,
aquatail,Aqua Tail,401,Water,Physical,90,90,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,
Aquatail,Aqua Tail,401,Water,Physical,90,90,10,0,normal,contact; metronome; mirror; protect,mechanic_contract,damage; random_branch,0,,,
armorcannon,Armor Cannon,890,Fire,Special,120,100,5,0,normal,mirror; protect,mechanic_contract,damage; stat_boost,0,,,
