dex_num,key,name,base_species,forme,types,abilities,base_stats,prevo,evolves_to,evo_type,evo_level,evo_item,evo_condition,form_flags,required_item,required_move,required_ability,battle_only,changes_from,has_learnset_entry,levelup_move_count_runtime,wild_moves_lvl50,generate_pokemon_lvl50,generate_error,catch_info_runtime_exact,catch_info_data_exists,gain_info_runtime_exact,gain_info_data_exists,ability_entity_metadata_linked,missing_categories,notes
0,Missingno,MissingNo.,,,Bird/Normal,,hp=33/atk=136/def=0/spa=6/spd=6/spe=29,,,,,,,,,,,,,True,0,Struggle,True,,False,False,False,False,True,special_num_zero_entry; missing_or_zero_base_stat; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; catch_rate_canonical_lookup_miss; catch_rate_data_missing; exp_ev_canonical_lookup_miss; exp_ev_data_missing,"Included because dex num is 0, but this is MissingNo. special data."
1,Bulbasaur,Bulbasaur,,,Grass/Poison,Overgrow|Chlorophyll,hp=45/atk=49/def=49/spa=65/spd=65/spe=45,,Ivysaur,,,,,,,,,,,True,16,solarbeam|synthesis|seedbomb|powerwhip,True,,True,True,True,True,False,,
2,Ivysaur,Ivysaur,,,Grass/Poison,Overgrow|Chlorophyll,hp=60/atk=62/def=63/spa=80/spd=80/spe=60,Bulbasaur,Venusaur,,16,,,,,,,,,True,16,solarbeam|synthesis|powerwhip|worryseed,True,,True,True,True,True,False,,
3,Venusaur,Venusaur,,,Grass/Poison,Overgrow|Chlorophyll,hp=80/atk=82/def=83/spa=100/spd=100/spe=80,Ivysaur,,,32,,,canGigantamax,,,,,,True,18,petalblizzard|synthesis|worryseed|petaldance,True,,True,True,True,True,False,gigantamax_runtime_selection_missing,
3,Venusaurgmax,Venusaur-Gmax,Venusaur,Gmax,Grass/Poison,Overgrow|Chlorophyll,hp=80/atk=82/def=83/spa=100/spd=100/spe=80,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Venusaur,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
3,Venusaurmega,Venusaur-Mega,Venusaur,Mega,Grass/Poison,Thick Fat,hp=80/atk=100/def=123/spa=122/spd=120/spe=80,,,,,,,baseSpecies|forme=Mega|requiredItem,Venusaurite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
4,Charmander,Charmander,,,Fire,Blaze|Solar Power,hp=39/atk=52/def=43/spa=60/spd=50/spe=65,,Charmeleon,,,,,,,,,,,True,16,firespin|inferno|flareblitz|flamethrower,True,,True,True,True,True,False,,
5,Charmeleon,Charmeleon,,,Fire,Blaze|Solar Power,hp=58/atk=64/def=58/spa=80/spd=65/spe=80,Charmander,Charizard,,16,,,,,,,,,True,16,firespin|inferno|flamethrower|flameburst,True,,True,True,True,True,False,,
6,Charizard,Charizard,,,Fire/Flying,Blaze|Solar Power,hp=78/atk=84/def=78/spa=109/spd=85/spe=100,Charmeleon,,,36,,,canGigantamax,,,,,,True,21,firespin|flamethrower|wingattack|flameburst,True,,True,True,True,True,False,gigantamax_runtime_selection_missing,
6,Charizardgmax,Charizard-Gmax,Charizard,Gmax,Fire/Flying,Blaze|Solar Power,hp=78/atk=84/def=78/spa=109/spd=85/spe=100,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Charizard,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
6,Charizardmegax,Charizard-Mega-X,Charizard,Mega-X,Fire/Dragon,Tough Claws,hp=78/atk=130/def=111/spa=130/spd=85/spe=100,,,,,,,baseSpecies|forme=Mega-X|requiredItem,Charizardite X,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
6,Charizardmegay,Charizard-Mega-Y,Charizard,Mega-Y,Fire/Flying,Drought,hp=78/atk=104/def=78/spa=159/spd=115/spe=100,,,,,,,baseSpecies|forme=Mega-Y|requiredItem,Charizardite Y,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
7,Squirtle,Squirtle,,,Water,Torrent|Rain Dish,hp=44/atk=48/def=65/spa=50/spd=64/spe=43,,Wartortle,,,,,,,,,,,True,16,hydropump|raindance|wavecrash|aquatail,True,,True,True,True,True,False,,
8,Wartortle,Wartortle,,,Water,Torrent|Rain Dish,hp=59/atk=63/def=80/spa=65/spd=80/spe=58,Squirtle,Blastoise,,16,,,,,,,,,True,16,wavecrash|hydropump|raindance|aquatail,True,,True,True,True,True,False,,
9,Blastoise,Blastoise,,,Water,Torrent|Rain Dish,hp=79/atk=83/def=100/spa=85/spd=105/spe=78,Wartortle,,,36,,,canGigantamax,,,,,,True,17,hydropump|raindance|aquatail|waterpulse,True,,True,True,True,True,False,gigantamax_runtime_selection_missing,
9,Blastoisegmax,Blastoise-Gmax,Blastoise,Gmax,Water,Torrent|Rain Dish,hp=79/atk=83/def=100/spa=85/spd=105/spe=78,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Blastoise,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
9,Blastoisemega,Blastoise-Mega,Blastoise,Mega,Water,Mega Launcher,hp=79/atk=103/def=120/spa=135/spd=115/spe=78,,,,,,,baseSpecies|forme=Mega|requiredItem,Blastoisinite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
10,Caterpie,Caterpie,,,Bug,Shield Dust|Run Away,hp=45/atk=30/def=35/spa=20/spd=20/spe=45,,Metapod,,,,,,,,,,,True,3,bugbite|stringshot|tackle,True,,True,True,True,True,False,,
11,Metapod,Metapod,,,Bug,Shed Skin,hp=50/atk=20/def=55/spa=25/spd=25/spe=30,Caterpie,Butterfree,,7,,,,,,,,,True,1,Tackle,True,,True,True,True,True,False,,
12,Butterfree,Butterfree,,,Bug/Flying,Compound Eyes|Tinted Lens,hp=60/atk=45/def=50/spa=90/spd=80/spe=70,Metapod,,,10,,,canGigantamax,,,,,,True,20,silverwind|quiverdance|airslash|bugbuzz,True,,True,True,True,True,False,gigantamax_runtime_selection_missing,
12,Butterfreegmax,Butterfree-Gmax,Butterfree,Gmax,Bug/Flying,Compound Eyes|Tinted Lens,hp=60/atk=45/def=50/spa=90/spd=80/spe=70,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Butterfree,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
13,Weedle,Weedle,,,Bug/Poison,Shield Dust|Run Away,hp=40/atk=35/def=30/spa=20/spd=20/spe=50,,Kakuna,,,,,,,,,,,True,3,bugbite|poisonsting|stringshot,True,,True,True,True,True,False,,
14,Kakuna,Kakuna,,,Bug/Poison,Shed Skin,hp=45/atk=25/def=50/spa=25/spd=25/spe=35,Weedle,Beedrill,,7,,,,,,,,,True,1,Tackle,True,,True,True,True,True,False,,
15,Beedrill,Beedrill,,,Bug/Poison,Swarm|Sniper,hp=65/atk=90/def=40/spa=45/spd=80/spe=75,Kakuna,,,10,,,,,,,,,True,13,fellstinger|poisonjab|pinmissile|toxicspikes,True,,True,True,True,True,False,,
15,Beedrillmega,Beedrill-Mega,Beedrill,Mega,Bug/Poison,Adaptability,hp=65/atk=150/def=40/spa=15/spd=80/spe=145,,,,,,,baseSpecies|forme=Mega|requiredItem,Beedrillite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
16,Pidgey,Pidgey,,,Normal/Flying,Keen Eye|Tangled Feet|Big Pecks,hp=40/atk=45/def=40/spa=35/spd=35/spe=56,,Pidgeotto,,,,,,,,,,,True,14,airslash|mirrormove|tailwind|roost,True,,True,True,True,True,False,,
17,Pidgeotto,Pidgeotto,,,Normal/Flying,Keen Eye|Tangled Feet|Big Pecks,hp=63/atk=60/def=55/spa=50/spd=50/spe=71,Pidgey,Pidgeot,,18,,,,,,,,,True,14,tailwind|roost|wingattack|featherdance,True,,True,True,True,True,False,,
18,Pidgeot,Pidgeot,,,Normal/Flying,Keen Eye|Tangled Feet|Big Pecks,hp=83/atk=80/def=75/spa=70/spd=70/spe=101,Pidgeotto,,,36,,,,,,,,,True,14,tailwind|roost|wingattack|featherdance,True,,True,True,True,True,False,,
18,Pidgeotmega,Pidgeot-Mega,Pidgeot,Mega,Normal/Flying,No Guard,hp=83/atk=80/def=80/spa=135/spd=80/spe=121,,,,,,,baseSpecies|forme=Mega|requiredItem,Pidgeotite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
19,Rattata,Rattata,,,Normal,Run Away|Guts|Hustle,hp=30/atk=56/def=35/spa=25/spd=35/spe=72,,Raticate,,,,,,,,,,,True,13,endeavor|superfang|doubleedge|focusenergy,True,,True,True,True,True,False,,
19,Rattataalola,Rattata-Alola,Rattata,Alola,Dark/Normal,Gluttony|Hustle|Thick Fat,hp=30/atk=56/def=35/spa=25/spd=35/spe=72,,Raticate-Alola,,,,,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing; evolution_target_not_resolved_by_current_lookup:Raticate-Alola; evolution_level_extra_conditions_ignored:Raticate-Alola:evoCondition,Raticate-Alola: current evolution lookup cannot resolve canonical/form name Raticate-Alola: level path ignores evoCondition
20,Raticate,Raticate,,,Normal,Run Away|Guts|Hustle,hp=55/atk=81/def=60/spa=50/spd=70/spe=97,Rattata,,,20,,,,,,,,,True,15,endeavor|superfang|doubleedge|scaryface,True,,True,True,True,True,False,,
20,Raticatealola,Raticate-Alola,Raticate,Alola,Dark/Normal,Gluttony|Hustle|Thick Fat,hp=75/atk=71/def=70/spa=40/spd=80/spe=77,Rattata-Alola,,,20,,at night,baseSpecies|forme=Alola,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
20,Raticatealolatotem,Raticate-Alola-Totem,Raticate,Alola-Totem,Dark/Normal,Thick Fat,hp=75/atk=71/def=70/spa=40/spd=80/spe=77,,,,,,,baseSpecies|forme=Alola-Totem,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
21,Spearow,Spearow,,,Normal/Flying,Keen Eye|Sniper,hp=40/atk=60/def=30/spa=31/spd=31/spe=70,,Fearow,,,,,,,,,,,True,12,drillpeck|roost|mirrormove|focusenergy,True,,True,True,True,True,False,,
22,Fearow,Fearow,,,Normal/Flying,Keen Eye|Sniper,hp=65/atk=90/def=65/spa=61/spd=61/spe=100,Spearow,,,20,,,,,,,,,True,14,drillpeck|roost|mirrormove|focusenergy,True,,True,True,True,True,False,,
23,Ekans,Ekans,,,Poison,Intimidate|Shed Skin|Unnerve,hp=35/atk=60/def=44/spa=40/spd=54/spe=55,,Arbok,,,,,,,,,,,True,18,gunkshot|coil|belch|gastroacid,True,,True,True,True,True,False,,
24,Arbok,Arbok,,,Poison,Intimidate|Shed Skin|Unnerve,hp=60/atk=95/def=69/spa=65/spd=79/spe=80,Ekans,,,22,,,,,,,,,True,22,belch|gastroacid|sludgebomb|acid,True,,True,True,True,True,False,,
25,Pikachu,Pikachu,,,Electric,Static|Lightning Rod,hp=35/atk=55/def=40/spa=50/spd=50/spe=90,Pichu,Raichu|Raichu-Alola,levelFriendship,,,,canGigantamax,,,,,,True,22,thunder|wildcharge|thunderbolt|discharge,True,,True,True,True,True,False,gigantamax_runtime_selection_missing; evolution_target_not_resolved_by_current_lookup:Raichu-Alola; evolution_branching_selection_partial,Raichu-Alola: current evolution lookup cannot resolve canonical/form name branching evolution selection is only partial
